,Target,Score,Interaction,Expression
AC010240.3,False,,False,0.18345323741007194
AC010287.1,False,,False,0.0035971223021582736
AC010468.1,False,,False,24.53956834532374
AC010492.2,False,,False,0.025179856115107913
AC010492.5,False,,False,0.01079136690647482
AC010504.2,False,,False,0.0035971223021582736
AC010522.1,False,,False,0.18345323741007194
AC010524.2,False,,True,0.19424460431654678
AC010528.1,False,,False,0.0035971223021582736
AC010642.1,False,,False,0.1474820143884892
AC010677.5,False,,False,0.6870503597122302
AC010731.2,False,,False,0.0035971223021582736
AC010733.5,False,,False,15.651079136690647
AC010740.1,False,,False,0.03597122302158273
AC010744.1,False,,False,0.0035971223021582736
AC010745.1,False,,False,0.01079136690647482
AC010745.2,False,,False,0.007194244604316547
AC010745.3,False,,False,0.0035971223021582736
AC010745.4,False,,False,0.01079136690647482
AC010761.14,False,,False,0.007194244604316547
AC010761.8,False,,False,0.539568345323741
AC010878.3,False,,False,0.6115107913669064
AC010883.5,False,,False,0.24100719424460432
AC010884.1,False,,False,0.0035971223021582736
AC010894.3,False,,False,0.5215827338129496
AC010894.4,False,,True,0.18345323741007194
AC010900.2,False,,False,0.0035971223021582736
AC010904.1,False,,False,0.017985611510791366
AC010907.2,False,,False,0.0035971223021582736
AC010907.5,False,,False,0.0035971223021582736
AC010969.1,False,,False,0.0035971223021582736
AC010970.2,False,,False,21.06474820143885
AC010971.1,False,,False,0.0035971223021582736
AC010976.2,False,,False,0.07553956834532374
AC010980.2,False,,False,0.01079136690647482
AC010983.1,False,,False,0.0035971223021582736
AC010987.5,False,,False,0.0035971223021582736
AC010987.6,False,,False,0.26258992805755393
AC011043.1,False,,False,1.6618705035971224
AC011043.2,False,,False,0.046762589928057555
AC011239.2,False,,True,0.07553956834532374
AC011242.5,False,,False,0.03597122302158273
AC011247.3,False,,False,0.01079136690647482
AC011290.5,False,,False,0.0035971223021582736
AC011322.1,False,,True,0.02877697841726619
AC011330.13,False,,False,0.15467625899280577
AC011330.5,False,,False,0.18345323741007194
AC011343.1,False,,False,0.11870503597122302
AC011431.1,False,,False,0.0035971223021582736
