ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000105051	RP23-62K10.1	processed_pseudogene
ENSMUSG00000105277	RP23-169H9.8	processed_pseudogene
ENSMUSG00000046275	Tusc5	protein_coding
ENSMUSG00000071074	Yipf3	protein_coding
ENSMUSG00000092072	Gm4540	processed_pseudogene
ENSMUSG00000101303	B020011L13Rik	protein_coding
ENSMUSG00000086862	Gm13546	antisense
ENSMUSG00000092467	Gm18360	unprocessed_pseudogene
ENSMUSG00000026235	Epha4	protein_coding
ENSMUSG00000038342	Mlxip	protein_coding
ENSMUSG00000092431	Vmn2r-ps70	unprocessed_pseudogene
ENSMUSG00000106254	RP23-370G17.2	TEC
ENSMUSG00000042190	Cmklr1	protein_coding
ENSMUSG00000034438	Gbp8	protein_coding
ENSMUSG00000044243	Bhlha9	protein_coding
ENSMUSG00000086700	Gm15747	antisense
ENSMUSG00000085713	Gm15736	antisense
ENSMUSG00000026384	Ptpn4	protein_coding
ENSMUSG00000106636	RP23-370G17.4	processed_transcript
ENSMUSG00000042616	Oscp1	protein_coding
ENSMUSG00000104940	RP23-370G17.3	TEC
ENSMUSG00000035949	Fbxw2	protein_coding
ENSMUSG00000079942	Rpl28-ps3	processed_pseudogene
ENSMUSG00000091876	Gm3851	processed_pseudogene
ENSMUSG00000090277	Gm8338	processed_pseudogene
ENSMUSG00000100436	Gm29657	processed_pseudogene
ENSMUSG00000033233	Trim45	protein_coding
ENSMUSG00000103146	Gm37745	TEC
ENSMUSG00000033773	Rpap2	protein_coding
ENSMUSG00000070385	Ampd1	protein_coding
ENSMUSG00000105731	RP24-409D4.3	sense_intronic
ENSMUSG00000029298	Gbp9	protein_coding
ENSMUSG00000032870	Smap2	protein_coding
ENSMUSG00000003411	Rab3b	protein_coding
ENSMUSG00000104146	Gm30175	unprocessed_pseudogene
ENSMUSG00000101830	Gm20907	unprocessed_pseudogene
ENSMUSG00000036995	Asap3	protein_coding
ENSMUSG00000091651	Vmn2r36	protein_coding
ENSMUSG00000059237	Ppp1r2-ps4	processed_pseudogene
ENSMUSG00000098768	Gm27207	lincRNA
ENSMUSG00000072477	Gm10360	IG_V_pseudogene
ENSMUSG00000082693	Gm15190	processed_pseudogene
ENSMUSG00000102545	6430573P05Rik	lincRNA
ENSMUSG00000086914	Gm16124	antisense
ENSMUSG00000083906	Gm15186	processed_pseudogene
ENSMUSG00000098391	Gm27208	processed_transcript
ENSMUSG00000076538	Igkv13-84	IG_V_gene
ENSMUSG00000076874	Traj59	TR_J_gene
ENSMUSG00000028779	Pef1	protein_coding
ENSMUSG00000024913	Lrp5	protein_coding
ENSMUSG00000025150	Cbr2	protein_coding
ENSMUSG00000002846	Timmdc1	protein_coding
ENSMUSG00000074812	Gm355	protein_coding
ENSMUSG00000027776	Il12a	protein_coding
ENSMUSG00000102841	Gm38036	TEC
ENSMUSG00000083632	Gm11786	processed_pseudogene
ENSMUSG00000102566	Gm37037	processed_pseudogene
ENSMUSG00000103776	2900035J10Rik	TEC
ENSMUSG00000058503	Fam133b	protein_coding
ENSMUSG00000102523	Gm37783	TEC
ENSMUSG00000084859	1700080N15Rik	antisense
ENSMUSG00000102621	Gm37674	TEC
ENSMUSG00000026925	Inpp5e	protein_coding
ENSMUSG00000019945	1700040L02Rik	protein_coding
ENSMUSG00000037242	Clic4	protein_coding
ENSMUSG00000031146	Plp2	protein_coding
ENSMUSG00000104532	RP23-185M15.10	IG_V_pseudogene
ENSMUSG00000026192	Atic	protein_coding
ENSMUSG00000085533	Gm12146	antisense
ENSMUSG00000026705	Klhl20	protein_coding
ENSMUSG00000038700	Hoxb5	protein_coding
ENSMUSG00000015149	Sirt2	protein_coding
ENSMUSG00000103496	Gm37408	TEC
ENSMUSG00000059169	Krt40	protein_coding
ENSMUSG00000086791	Gm12147	antisense
ENSMUSG00000081605	Gm15953	processed_pseudogene
