,MIR199A1_All_d3_c95_status
CNPPD1,OPTIMAL
CNPY2,OPTIMAL
COA5,OPTIMAL
COG3,OPTIMAL
COG4,OPTIMAL
COG5,OPTIMAL
COG6,OPTIMAL
COG8,OPTIMAL
COL15A1,OPTIMAL
COL16A1,OPTIMAL
COL4A1,OPTIMAL
COL8A1,OPTIMAL
COMMD5,OPTIMAL
COMT,OPTIMAL
COMTD1,OPTIMAL
COPG2,OPTIMAL
COQ10A,OPTIMAL
COX10,OPTIMAL
COX15,OPTIMAL
COX18,OPTIMAL
CPNE8,OPTIMAL
CPSF4,OPTIMAL
CPT2,OPTIMAL
CRACR2A,OPTIMAL
CRCP,OPTIMAL
CREBL2,OPTIMAL
CRIP1,OPTIMAL
CRLF1,OPTIMAL
CRMP1,OPTIMAL
CRNKL1,OPTIMAL
CROT,OPTIMAL
CRTC1,OPTIMAL
CRYL1,OPTIMAL
CRYZ,OPTIMAL
CSAD,OPTIMAL
CSGALNACT2,OPTIMAL
CSNK2A3,OPTIMAL
CSNK2B,OPTIMAL
CSPP1,OPTIMAL
CSRNP1,OPTIMAL
CSRNP2,OPTIMAL
CSRP1,OPTIMAL
CSTF2,OPTIMAL
CTBS,OPTIMAL
CTU2,OPTIMAL
CUTC,OPTIMAL
CWF19L2,OPTIMAL
CXCL1,OPTIMAL
CXCL3,OPTIMAL
CYB561,OPTIMAL
CYBA,OPTIMAL
CYFIP2,OPTIMAL
CYP27A1,OPTIMAL
CYP2U1,OPTIMAL
CYP4V2,OPTIMAL
CYSTM1,OPTIMAL
CYTH2,OPTIMAL
D2HGDH,OPTIMAL
DAB2IP,OPTIMAL
DAGLB,OPTIMAL
DBF4B,INFEASIBLE
DBT,OPTIMAL
DCAF10,OPTIMAL
DCAKD,OPTIMAL
DCK,OPTIMAL
DCLRE1A,OPTIMAL
DDIT3,OPTIMAL
DDIT4,OPTIMAL
DDRGK1,OPTIMAL
DDX19B,OPTIMAL
DDX31,OPTIMAL
DDX39B,OPTIMAL
DDX54,OPTIMAL
DDX60L,OPTIMAL
DEDD2,OPTIMAL
DENND2A,INFEASIBLE
DENND4C,OPTIMAL
DENND5B,OPTIMAL
DENND6A,INFEASIBLE
DEPDC5,OPTIMAL
DET1,OPTIMAL
DGCR6L,OPTIMAL
DGKD,OPTIMAL
DGKE,OPTIMAL
DGKH,OPTIMAL
DGKQ,OPTIMAL
DHODH,OPTIMAL
DHRS1,OPTIMAL
DHRS7B,OPTIMAL
DHRSX,OPTIMAL
DHX16,OPTIMAL
DHX32,OPTIMAL
DIP2B,OPTIMAL
DIP2C,OPTIMAL
DIS3L2,OPTIMAL
DKK1,OPTIMAL
DLL3,INFEASIBLE
DMXL1,OPTIMAL
DNAAF2,OPTIMAL
DNAJA4,OPTIMAL
DNAJB12,OPTIMAL
DNAJB2,OPTIMAL
DNAJB4,OPTIMAL
DNAJB9,OPTIMAL
DNAJC1,OPTIMAL
DNAJC18,OPTIMAL
DNAJC24,OPTIMAL
DNAJC30,OPTIMAL
DNAJC4,INFEASIBLE
DNAJC6,OPTIMAL
DNALI1,OPTIMAL
DNASE2,OPTIMAL
DNM1,OPTIMAL
DNM2,OPTIMAL
DNTTIP1,OPTIMAL
DOCK11,OPTIMAL
DOCK4,OPTIMAL
DOCK6,OPTIMAL
DOK4,OPTIMAL
DPAGT1,OPTIMAL
DPF3,OPTIMAL
DPH1,OPTIMAL
DPY19L3,OPTIMAL
DPYD,OPTIMAL
DPYSL4,OPTIMAL
DR1,OPTIMAL
DRAM2,OPTIMAL
DSN1,OPTIMAL
DTD2,OPTIMAL
DTX2,OPTIMAL
DTX3,INFEASIBLE
DUSP18,OPTIMAL
DUSP4,OPTIMAL
DVL2,OPTIMAL
DVL3,OPTIMAL
DXO,OPTIMAL
DYM,OPTIMAL
DYNC2LI1,OPTIMAL
DYRK3,OPTIMAL
E2F1,OPTIMAL
E2F2,OPTIMAL
E2F6,OPTIMAL
E2F8,OPTIMAL
E4F1,OPTIMAL
