,counts_d4_c95_status,counts_d4_c95_correlation,counts_d4_c50_status,counts_d4_c50_correlation,counts_d4_c25_status,counts_d4_c25_correlation
ADGRE5,OPTIMAL,0.14733694052354415,OPTIMAL,0.027107483477084495,OPTIMAL,-0.0036284199499979305
ADGRG2,OPTIMAL,-0.0572487481148105,OPTIMAL,-0.03878597415445278,INFEASIBLE,
ADGRL2,CUT_LIMIT,,OPTIMAL,-0.060022569885048546,OPTIMAL,-0.06946696282366263
ADGRL4,OPTIMAL,-0.0656353706000056,OPTIMAL,-0.06314327033198819,OPTIMAL,-0.05911453624047264
ADH5,OPTIMAL,0.10023102407655085,OPTIMAL,0.03450669186582873,OPTIMAL,0.016006291795142753
ADI1,OPTIMAL,-0.5148780265858502,OPTIMAL,0.09419237754153414,CUT_LIMIT,
ADIPOR1,OPTIMAL,-0.4568899517553299,OPTIMAL,-0.05282146944065951,OPTIMAL,-0.09100611021561283
ADIPOR2,OPTIMAL,-0.8946846384090408,OPTIMAL,-0.04962919577880842,OPTIMAL,-0.040243072730633565
ADK,OPTIMAL,-0.5042453831634244,OPTIMAL,-0.21684100623236754,OPTIMAL,-0.16780438137166553
ADM,OPTIMAL,-0.5657444994241234,OPTIMAL,-0.11264342027100711,OPTIMAL,-0.10654146807342582
ADM5,OPTIMAL,-0.06209496230880969,OPTIMAL,0.18949162610786488,OPTIMAL,0.1307970663369402
ADNP,OPTIMAL,-0.6131567091186864,OPTIMAL,0.22418819257369502,OPTIMAL,0.11538119109410593
ADNP2,OPTIMAL,-0.5415917667264283,OPTIMAL,-0.10132828789603501,OPTIMAL,-0.12551337964346385
ADO,OPTIMAL,0.016489405697756723,OPTIMAL,0.09448374352192532,OPTIMAL,0.09901797173645233
ADORA2B,OPTIMAL,-0.3584375597982954,OPTIMAL,-0.06905715867857075,OPTIMAL,-0.07429668891398276
ADPGK,OPTIMAL,-0.11091366121953258,OPTIMAL,-0.1178086912568037,OPTIMAL,-0.06872956078809223
ADRA1B,OPTIMAL,-0.12902805804453304,OPTIMAL,-0.025150487836000025,OPTIMAL,-0.008744107278884162
ADRB1,CUT_LIMIT,,OPTIMAL,-0.09717024528637891,OPTIMAL,-0.021424498926080626
ADRB2,OPTIMAL,0.04260825117421763,OPTIMAL,0.00605755713771121,CUT_LIMIT,
ADRM1,OPTIMAL,-0.09956922243888795,OPTIMAL,0.005221330914169026,OPTIMAL,-0.03264711137696738
ADSL,OPTIMAL,0.25733239781334655,OPTIMAL,0.0077055482193128366,OPTIMAL,-0.012355303966637893
AEBP1,OPTIMAL,0.9997545879260928,OPTIMAL,0.356274739156087,OPTIMAL,0.0900498239965031
AEBP2,OPTIMAL,0.7380213827880964,OPTIMAL,0.6163139064005823,OPTIMAL,0.4777933469188866
AEN,OPTIMAL,-0.09108604597048671,CUT_LIMIT,,OPTIMAL,0.2585627235309999
AFAP1,OPTIMAL,0.2783414104249431,OPTIMAL,0.04629745856008196,OPTIMAL,0.014601297556111632
AFAP1L1,OPTIMAL,-0.16235817282220366,OPTIMAL,-0.08615014652727503,OPTIMAL,-0.08513702716271905
AFF1,OPTIMAL,-0.0708616828067865,OPTIMAL,-0.08434055772163805,OPTIMAL,-0.061867392188515995
AFF4,OPTIMAL,-0.48357426818809607,OPTIMAL,-0.009436910846992608,OPTIMAL,-0.02695492824522399
AFG3L2,OPTIMAL,-0.6791069605366695,OPTIMAL,-0.10097476159957641,OPTIMAL,-0.11600301470263918
AFMID,OPTIMAL,-0.3138248865822888,OPTIMAL,-0.007458131610114059,OPTIMAL,-0.029336288709879223
AFTPH,OPTIMAL,-0.11392318580664366,OPTIMAL,-0.07261531715366706,OPTIMAL,-0.07347108426527071
AGA,OPTIMAL,-0.12081265210208914,OPTIMAL,-0.05050694811650942,OPTIMAL,-0.06130269799096295
AGAP1,OPTIMAL,-0.11681164478078623,OPTIMAL,-0.08892630729448643,OPTIMAL,-0.10130740581070659
AGAP3,OPTIMAL,-0.19361083435300655,OPTIMAL,-0.05340662002107501,CUT_LIMIT,
AGAP6,OPTIMAL,-0.07138733787052179,OPTIMAL,-0.043731352792655,OPTIMAL,-0.042655427455962715
AGBL5,OPTIMAL,-0.11806978837450652,OPTIMAL,-0.07330933791433503,OPTIMAL,-0.08614910679244395
